Task Description,Category,Skill,ID recurso asignado,éxito estimado
Implement cloud backup,cloud,google cloud,74,50.76
Manage cloud services on Heroku,cloud,azure,45,32.83
Implement cloud backup,cloud,heroku,6,45.9
Implement cloud backup,cloud,azure,61,31.56
Set up Firebase for app hosting,cloud,aws,96,26.71
Manage cloud services on Heroku,cloud,heroku,215,6.49
Manage cloud services on Heroku,cloud,firebase,156,36.67
Configure Google Cloud storage,cloud,firebase,248,21.86
Implement cloud backup,cloud,google cloud,282,18.47
Configure Google Cloud storage,cloud,aws,10,27.07
Configure Google Cloud storage,cloud,firebase,104,24.95
Configure Google Cloud storage,cloud,google cloud,244,40.22
Implement cloud backup,cloud,firebase,249,21.28
Implement cloud backup,cloud,azure,144,45.36
Deploy app on AWS,cloud,heroku,45,32.83
Manage cloud services on Heroku,cloud,aws,245,32.52
Set up Firebase for app hosting,cloud,google cloud,39,12.01
Migrate services to Azure,cloud,aws,293,36.69
Manage cloud services on Heroku,cloud,firebase,112,14.87
Implement cloud backup,cloud,google cloud,77,46.84
Implement cloud backup,cloud,google cloud,46,27.52
Configure Google Cloud storage,cloud,firebase,33,18.67
Configure Google Cloud storage,cloud,google cloud,21,43.91
Configure Google Cloud storage,cloud,google cloud,193,29.09
Set up Firebase for app hosting,cloud,azure,155,30.3
Migrate services to Azure,cloud,google cloud,35,32.06
Configure Google Cloud storage,cloud,google cloud,261,31.19
Deploy app on AWS,cloud,firebase,155,30.3
Deploy app on AWS,cloud,azure,241,29.01
Deploy app on AWS,cloud,heroku,144,45.36
Deploy app on AWS,cloud,google cloud,122,38.17
Manage cloud services on Heroku,cloud,heroku,127,29.46
Migrate services to Azure,cloud,azure,134,35.05
Implement cloud backup,cloud,azure,21,43.91
Configure Google Cloud storage,cloud,google cloud,15,20.69
Set up Firebase for app hosting,cloud,google cloud,273,29.98
Migrate services to Azure,cloud,firebase,18,10.5
Configure Google Cloud storage,cloud,firebase,285,25.99
Manage cloud services on Heroku,cloud,google cloud,138,18.92
Migrate services to Azure,cloud,firebase,61,31.56
Implement cloud backup,cloud,firebase,184,37.24
Implement cloud backup,cloud,aws,82,30.83
Deploy app on AWS,cloud,heroku,231,40.99
Implement cloud backup,cloud,aws,65,22.1
Manage cloud services on Heroku,cloud,firebase,254,38.14
Set up Firebase for app hosting,cloud,google cloud,151,33.16
Set up Firebase for app hosting,cloud,google cloud,250,35.59
Set up Firebase for app hosting,cloud,heroku,267,47.25
Configure Google Cloud storage,cloud,azure,274,35.78
Set up Firebase for app hosting,cloud,google cloud,273,29.98
Manage cloud services on Heroku,cloud,azure,10,27.07
Implement cloud backup,cloud,heroku,270,16.04
Set up Firebase for app hosting,cloud,google cloud,120,39.52
Configure Google Cloud storage,cloud,firebase,19,27.94
Configure Google Cloud storage,cloud,azure,223,32.7
Configure Google Cloud storage,cloud,firebase,261,31.19
Configure Google Cloud storage,cloud,heroku,83,41.78
Implement cloud backup,cloud,heroku,10,27.07
Implement cloud backup,cloud,aws,243,11.43
Implement cloud backup,cloud,firebase,259,35.67
Manage cloud services on Heroku,cloud,aws,265,27.56
Implement cloud backup,cloud,heroku,245,32.52
Set up Firebase for app hosting,cloud,aws,108,28.93
Migrate services to Azure,cloud,aws,199,26.75
Deploy app on AWS,cloud,firebase,266,43.94
Deploy app on AWS,cloud,google cloud,6,45.9
Implement cloud backup,cloud,firebase,120,39.52
Migrate services to Azure,cloud,azure,110,48.26
Deploy app on AWS,cloud,google cloud,172,23.67
Migrate services to Azure,cloud,aws,295,31.27
Deploy app on AWS,cloud,heroku,168,20.0
Implement cloud backup,cloud,heroku,282,18.47
Configure Google Cloud storage,cloud,firebase,232,15.41
Migrate services to Azure,cloud,google cloud,295,31.27
Manage cloud services on Heroku,cloud,google cloud,1,31.62
Set up Firebase for app hosting,cloud,google cloud,167,17.74
Implement cloud backup,cloud,heroku,108,28.93
Implement cloud backup,cloud,heroku,300,33.83
Deploy app on AWS,cloud,aws,59,9.04
Manage cloud services on Heroku,cloud,azure,166,27.07
Migrate services to Azure,cloud,firebase,187,36.89
Manage cloud services on Heroku,cloud,aws,198,26.39
Set up Firebase for app hosting,cloud,aws,191,41.6
Migrate services to Azure,cloud,google cloud,227,17.6
Migrate services to Azure,cloud,heroku,171,50.55
Configure Google Cloud storage,cloud,heroku,94,15.14
Implement cloud backup,cloud,firebase,66,22.67
Migrate services to Azure,cloud,azure,134,35.05
Deploy app on AWS,cloud,azure,183,27.77
Implement cloud backup,cloud,firebase,260,47.95
Set up Firebase for app hosting,cloud,firebase,175,37.44
Set up Firebase for app hosting,cloud,heroku,222,13.34
Set up Firebase for app hosting,cloud,firebase,106,33.03
Set up Firebase for app hosting,cloud,heroku,60,20.1
Configure Google Cloud storage,cloud,heroku,8,28.15
Configure Google Cloud storage,cloud,firebase,105,16.77
Set up Firebase for app hosting,cloud,google cloud,169,32.24
Set up Firebase for app hosting,cloud,aws,158,34.17
Implement cloud backup,cloud,aws,4,35.03
Implement cloud backup,cloud,aws,78,29.3
Set up Firebase for app hosting,cloud,firebase,291,15.65
Configure Google Cloud storage,cloud,firebase,90,41.38
Migrate services to Azure,cloud,firebase,34,36.89
Implement cloud backup,cloud,aws,58,31.56
Set up Firebase for app hosting,cloud,google cloud,300,33.83
Manage cloud services on Heroku,cloud,aws,41,31.24
Implement cloud backup,cloud,aws,239,20.69
Set up Firebase for app hosting,cloud,firebase,253,24.56
Manage cloud services on Heroku,cloud,heroku,107,31.92
Manage cloud services on Heroku,cloud,azure,226,21.05
Manage cloud services on Heroku,cloud,aws,97,14.69
Configure Google Cloud storage,cloud,heroku,245,32.52
Set up Firebase for app hosting,cloud,azure,211,47.71
Manage cloud services on Heroku,cloud,azure,269,46.51
Implement cloud backup,cloud,aws,34,36.89
Manage cloud services on Heroku,cloud,aws,254,38.14
Manage cloud services on Heroku,cloud,azure,195,37.0
Set up Firebase for app hosting,cloud,aws,295,31.27
Set up Firebase for app hosting,cloud,aws,293,36.69
Set up Firebase for app hosting,cloud,azure,136,30.81
Migrate services to Azure,cloud,heroku,60,20.1
Set up Firebase for app hosting,cloud,firebase,264,6.19
Migrate services to Azure,cloud,heroku,133,35.47
Implement cloud backup,cloud,azure,129,26.69
Set up Firebase for app hosting,cloud,aws,3,28.08
Manage cloud services on Heroku,cloud,azure,75,30.67
Migrate services to Azure,cloud,google cloud,63,32.31
Deploy app on AWS,cloud,aws,165,14.83
Deploy app on AWS,cloud,heroku,38,15.38
Deploy app on AWS,cloud,firebase,23,37.8
Set up Firebase for app hosting,cloud,azure,137,29.42
Manage cloud services on Heroku,cloud,aws,42,33.39
Configure Google Cloud storage,cloud,google cloud,298,48.24
Manage cloud services on Heroku,cloud,google cloud,276,32.83
Set up Firebase for app hosting,cloud,aws,198,26.39
Deploy app on AWS,cloud,google cloud,105,16.77
Deploy app on AWS,cloud,aws,127,29.46
Configure Google Cloud storage,cloud,azure,191,41.6
Migrate services to Azure,cloud,aws,107,31.92
Configure Google Cloud storage,cloud,google cloud,239,20.69
Configure Google Cloud storage,cloud,aws,113,36.44
Manage cloud services on Heroku,cloud,aws,117,35.1
Implement cloud backup,cloud,heroku,51,24.63
Configure Google Cloud storage,cloud,aws,234,47.13
Configure Google Cloud storage,cloud,firebase,85,44.43
Set up Firebase for app hosting,cloud,aws,295,31.27
Manage cloud services on Heroku,cloud,firebase,174,32.16
Manage cloud services on Heroku,cloud,aws,193,29.09
Configure Google Cloud storage,cloud,firebase,88,6.28
Implement cloud backup,cloud,firebase,35,32.06
Configure Google Cloud storage,cloud,google cloud,235,20.82
Set up Firebase for app hosting,cloud,azure,188,22.38
Migrate services to Azure,cloud,firebase,66,22.67
Deploy app on AWS,cloud,google cloud,198,26.39
Deploy app on AWS,cloud,heroku,161,33.25
Deploy app on AWS,cloud,heroku,46,27.52
Deploy app on AWS,cloud,heroku,272,27.11
Deploy app on AWS,cloud,aws,153,47.16
Set up Firebase for app hosting,cloud,firebase,39,12.01
Migrate services to Azure,cloud,aws,187,36.89
Set up Firebase for app hosting,cloud,heroku,167,17.74
Set up Firebase for app hosting,cloud,firebase,125,16.53
Migrate services to Azure,cloud,google cloud,266,43.94
Migrate services to Azure,cloud,heroku,192,37.48
Migrate services to Azure,cloud,aws,101,40.31
Deploy app on AWS,cloud,google cloud,28,14.31
Set up Firebase for app hosting,cloud,firebase,236,9.29
Configure Google Cloud storage,cloud,aws,125,16.53
Migrate services to Azure,cloud,azure,60,20.1
Migrate services to Azure,cloud,azure,101,40.31
Migrate services to Azure,cloud,firebase,3,28.08
Migrate services to Azure,cloud,google cloud,166,27.07
Deploy app on AWS,cloud,azure,15,20.69
Configure Google Cloud storage,cloud,heroku,172,23.67
Set up Firebase for app hosting,cloud,google cloud,79,24.46
Migrate services to Azure,cloud,firebase,166,27.07
Configure Google Cloud storage,cloud,heroku,154,21.41
Configure Google Cloud storage,cloud,google cloud,251,33.14
Implement cloud backup,cloud,aws,253,24.56
Set up Firebase for app hosting,cloud,azure,245,32.52
Manage cloud services on Heroku,cloud,aws,149,32.53
Configure Google Cloud storage,cloud,aws,206,45.48
Migrate services to Azure,cloud,heroku,243,11.43
Manage cloud services on Heroku,cloud,google cloud,41,31.24
Implement cloud backup,cloud,heroku,61,31.56
Set up Firebase for app hosting,cloud,azure,255,42.26
Deploy app on AWS,cloud,azure,2,44.9
Implement cloud backup,cloud,aws,48,24.28
Migrate services to Azure,cloud,google cloud,22,19.8
Set up Firebase for app hosting,cloud,firebase,105,16.77
Set up Firebase for app hosting,cloud,heroku,245,32.52
Implement cloud backup,cloud,heroku,122,38.17
Manage cloud services on Heroku,cloud,firebase,35,32.06
Manage cloud services on Heroku,cloud,aws,160,9.19
Configure Google Cloud storage,cloud,heroku,29,36.42
Set up Firebase for app hosting,cloud,aws,196,28.19
Configure Google Cloud storage,cloud,heroku,127,29.46
Implement cloud backup,cloud,firebase,218,34.55
Configure Google Cloud storage,cloud,azure,253,24.56
Deploy app on AWS,cloud,google cloud,199,26.75
Set up Firebase for app hosting,cloud,heroku,23,37.8
Manage cloud services on Heroku,cloud,google cloud,280,31.63
Manage cloud services on Heroku,cloud,azure,62,37.36
Deploy app on AWS,cloud,firebase,39,12.01
Manage cloud services on Heroku,cloud,heroku,252,44.72
Set up Firebase for app hosting,cloud,azure,78,29.3
Migrate services to Azure,cloud,firebase,286,10.91
Implement cloud backup,cloud,azure,131,36.57
Set up Firebase for app hosting,cloud,heroku,14,23.87
Set up Firebase for app hosting,cloud,heroku,282,18.47
Manage cloud services on Heroku,cloud,heroku,286,10.91
Manage cloud services on Heroku,cloud,azure,147,37.2
Manage cloud services on Heroku,cloud,aws,168,20.0
Configure Google Cloud storage,cloud,firebase,250,35.12
Manage cloud services on Heroku,cloud,google cloud,1,31.62
Configure Google Cloud storage,cloud,google cloud,106,33.03
Configure Google Cloud storage,cloud,google cloud,196,28.19
Deploy app on AWS,cloud,google cloud,266,43.94
Manage cloud services on Heroku,cloud,firebase,233,39.85
Configure Google Cloud storage,cloud,azure,96,26.71
Implement cloud backup,cloud,google cloud,5,20.45
Deploy app on AWS,cloud,firebase,144,45.36
Configure Google Cloud storage,cloud,google cloud,89,37.04
Configure Google Cloud storage,cloud,heroku,80,29.38
Implement cloud backup,cloud,firebase,214,35.29
Migrate services to Azure,cloud,azure,107,31.92
Manage cloud services on Heroku,cloud,azure,136,30.81
Configure Google Cloud storage,cloud,google cloud,256,44.19
Deploy app on AWS,cloud,aws,173,17.27
Implement cloud backup,cloud,heroku,99,25.32
Implement cloud backup,cloud,azure,142,17.0
Manage cloud services on Heroku,cloud,azure,8,28.15
Deploy app on AWS,cloud,azure,138,18.92
Migrate services to Azure,cloud,heroku,278,26.29
Configure Google Cloud storage,cloud,google cloud,155,30.3
Configure Google Cloud storage,cloud,azure,101,40.31
Implement cloud backup,cloud,firebase,213,21.8
Configure Google Cloud storage,cloud,heroku,143,16.9
Implement cloud backup,cloud,azure,235,20.82
Set up Firebase for app hosting,cloud,google cloud,156,36.67
Set up Firebase for app hosting,cloud,firebase,284,9.67
Set up Firebase for app hosting,cloud,firebase,212,40.99
Deploy app on AWS,cloud,google cloud,60,20.1
Set up Firebase for app hosting,cloud,google cloud,72,43.0
Manage cloud services on Heroku,cloud,aws,14,23.87
Implement cloud backup,cloud,google cloud,162,48.43
Configure Google Cloud storage,cloud,azure,180,23.32
Deploy app on AWS,cloud,firebase,215,6.49
Manage cloud services on Heroku,cloud,heroku,121,29.09
Deploy app on AWS,cloud,google cloud,206,45.48
Set up Firebase for app hosting,cloud,heroku,209,31.97
Set up Firebase for app hosting,cloud,azure,208,50.89
Set up Firebase for app hosting,cloud,azure,6,45.9
Set up Firebase for app hosting,cloud,azure,53,32.21
Set up Firebase for app hosting,cloud,google cloud,277,23.98
Deploy app on AWS,cloud,aws,47,22.55
Deploy app on AWS,cloud,azure,251,33.14
Manage cloud services on Heroku,cloud,azure,268,18.54
Manage cloud services on Heroku,cloud,google cloud,23,39.87
Implement cloud backup,cloud,google cloud,228,38.74
Configure Google Cloud storage,cloud,firebase,54,23.04
Implement cloud backup,cloud,firebase,58,31.56
Set up Firebase for app hosting,cloud,google cloud,210,26.7
Migrate services to Azure,cloud,google cloud,30,14.23
Set up Firebase for app hosting,cloud,heroku,260,47.95
Migrate services to Azure,cloud,firebase,54,23.04
Configure Google Cloud storage,cloud,aws,126,32.71
Manage cloud services on Heroku,cloud,aws,215,6.49
Configure Google Cloud storage,cloud,google cloud,122,38.17
Configure Google Cloud storage,cloud,azure,99,25.32
Configure Google Cloud storage,cloud,google cloud,22,19.8
Manage cloud services on Heroku,cloud,firebase,200,19.18
Deploy app on AWS,cloud,heroku,103,18.77
Implement cloud backup,cloud,firebase,129,26.69
Set up Firebase for app hosting,cloud,heroku,8,28.15
Manage cloud services on Heroku,cloud,heroku,29,36.42
Manage cloud services on Heroku,cloud,google cloud,277,23.98
Migrate services to Azure,cloud,azure,200,19.18
Manage cloud services on Heroku,cloud,heroku,107,31.92
Implement cloud backup,cloud,firebase,235,20.82
Configure Google Cloud storage,cloud,heroku,226,21.05
Implement cloud backup,cloud,google cloud,271,41.48
Configure Google Cloud storage,cloud,google cloud,132,35.65
Implement cloud backup,cloud,azure,40,42.56
Set up Firebase for app hosting,cloud,google cloud,282,18.47
Deploy app on AWS,cloud,aws,13,26.23
Migrate services to Azure,cloud,azure,249,21.28
Configure Google Cloud storage,cloud,firebase,54,23.04
Manage cloud services on Heroku,cloud,heroku,6,45.9
Implement cloud backup,cloud,google cloud,270,16.04
Manage cloud services on Heroku,cloud,google cloud,209,31.97
Implement cloud backup,cloud,firebase,16,19.74
Configure Google Cloud storage,cloud,firebase,36,44.76
Configure Google Cloud storage,cloud,aws,75,30.67
Deploy app on AWS,cloud,aws,252,44.72
Set up Firebase for app hosting,cloud,aws,293,36.69
Set up Firebase for app hosting,cloud,azure,85,44.43
Implement cloud backup,cloud,firebase,277,23.98
Manage cloud services on Heroku,cloud,heroku,190,5.27
Migrate services to Azure,cloud,google cloud,202,21.66
Implement cloud backup,cloud,google cloud,158,34.17
Implement cloud backup,cloud,firebase,241,29.01
Implement cloud backup,cloud,aws,86,29.6
Deploy app on AWS,cloud,heroku,103,18.77
Set up Firebase for app hosting,cloud,aws,253,24.56
Manage cloud services on Heroku,cloud,firebase,181,42.14
Implement cloud backup,cloud,aws,106,33.03
Implement cloud backup,cloud,heroku,260,47.95
Implement cloud backup,cloud,azure,196,28.19
Implement cloud backup,cloud,google cloud,152,33.47
Deploy app on AWS,cloud,azure,116,32.91
Configure Google Cloud storage,cloud,firebase,187,36.89
Implement cloud backup,cloud,azure,93,38.9
Deploy app on AWS,cloud,azure,278,26.29
Manage cloud services on Heroku,cloud,firebase,60,20.1
Configure Google Cloud storage,cloud,aws,202,21.66
Implement cloud backup,cloud,aws,57,21.4
Configure Google Cloud storage,cloud,aws,80,29.38
Manage cloud services on Heroku,cloud,google cloud,120,39.52
Migrate services to Azure,cloud,aws,272,27.11
Migrate services to Azure,cloud,heroku,263,24.36
Manage cloud services on Heroku,cloud,aws,174,32.16
Manage cloud services on Heroku,cloud,azure,29,36.42
Migrate services to Azure,cloud,azure,165,14.83
Set up Firebase for app hosting,cloud,firebase,50,20.09
Configure Google Cloud storage,cloud,aws,92,33.91
Manage cloud services on Heroku,cloud,azure,21,43.91
Deploy app on AWS,cloud,aws,242,30.57
Implement cloud backup,cloud,firebase,75,30.67
Manage cloud services on Heroku,cloud,aws,162,48.43
Implement cloud backup,cloud,azure,69,7.6
Set up Firebase for app hosting,cloud,google cloud,291,15.65
Configure Google Cloud storage,cloud,firebase,106,33.03
Migrate services to Azure,cloud,azure,269,46.51
Implement cloud backup,cloud,google cloud,113,36.44
Configure Google Cloud storage,cloud,azure,78,29.3
Manage cloud services on Heroku,cloud,firebase,139,37.6
Set up Firebase for app hosting,cloud,firebase,103,18.77
Configure Google Cloud storage,cloud,azure,185,34.98
Implement cloud backup,cloud,google cloud,202,21.66
Implement cloud backup,cloud,firebase,297,10.78
Implement cloud backup,cloud,azure,42,33.39
Implement cloud backup,cloud,azure,238,31.66
Manage cloud services on Heroku,cloud,azure,8,28.15
Deploy app on AWS,cloud,heroku,251,33.14
Deploy app on AWS,cloud,azure,270,16.04
Implement cloud backup,cloud,firebase,172,23.67
Implement cloud backup,cloud,firebase,121,29.09
Manage cloud services on Heroku,cloud,azure,120,39.52
Implement cloud backup,cloud,azure,63,32.31
Implement cloud backup,cloud,aws,217,21.81
Manage cloud services on Heroku,cloud,aws,43,11.73
Manage cloud services on Heroku,cloud,google cloud,261,31.19
Manage cloud services on Heroku,cloud,firebase,198,26.39
Migrate services to Azure,cloud,azure,108,28.93
Deploy app on AWS,cloud,heroku,171,50.55
Manage cloud services on Heroku,cloud,azure,45,32.83
Deploy app on AWS,cloud,firebase,260,47.95
Migrate services to Azure,cloud,google cloud,38,15.38
Implement cloud backup,cloud,google cloud,180,23.32
Deploy app on AWS,cloud,aws,54,23.04
Configure Google Cloud storage,cloud,aws,214,35.29
Implement cloud backup,cloud,aws,148,25.54
Set up Firebase for app hosting,cloud,heroku,115,34.59
Implement cloud backup,cloud,azure,141,16.34
Deploy app on AWS,cloud,google cloud,256,44.19
Implement cloud backup,cloud,heroku,167,17.74
Migrate services to Azure,cloud,azure,31,53.73
Configure Google Cloud storage,cloud,aws,53,32.21
Deploy app on AWS,cloud,aws,199,26.75
Migrate services to Azure,cloud,heroku,290,28.42
Implement cloud backup,cloud,google cloud,8,28.15
Migrate services to Azure,cloud,firebase,230,25.4
Manage cloud services on Heroku,cloud,firebase,245,32.52
Configure Google Cloud storage,cloud,google cloud,138,18.92
Deploy app on AWS,cloud,aws,156,36.67
Set up Firebase for app hosting,cloud,aws,99,25.32
Set up Firebase for app hosting,cloud,firebase,112,14.87
Implement cloud backup,cloud,aws,164,40.53
Set up Firebase for app hosting,cloud,firebase,172,23.67
Configure Google Cloud storage,cloud,google cloud,287,22.43
Manage cloud services on Heroku,cloud,azure,50,20.09
Implement cloud backup,cloud,heroku,229,15.66
Set up Firebase for app hosting,cloud,heroku,145,18.66
Build a recommendation engine,data science,Python,240,37.77
Visualize data insights,data science,Tableau,25,17.24
Build a recommendation engine,data science,Python,256,44.19
Perform statistical analysis,data science,R,178,47.5
Visualize data insights,data science,Tableau,152,33.47
Develop machine learning models,data science,TensorFlow,44,46.57
Data cleaning and preprocessing,data science,Pandas,290,28.42
Data cleaning and preprocessing,data science,Pandas,5,20.45
Perform statistical analysis,data science,R,66,22.67
Develop machine learning models,data science,TensorFlow,246,25.73
Build a recommendation engine,data science,Python,110,48.26
Develop machine learning models,data science,TensorFlow,9,17.42
Develop machine learning models,data science,TensorFlow,86,29.6
Visualize data insights,data science,Tableau,182,42.82
Build a recommendation engine,data science,Python,90,41.38
Build a recommendation engine,data science,Python,80,29.38
Perform statistical analysis,data science,R,200,19.18
Develop machine learning models,data science,TensorFlow,36,44.76
Data cleaning and preprocessing,data science,Pandas,224,28.64
Visualize data insights,data science,Tableau,38,15.38
Data cleaning and preprocessing,data science,Pandas,203,30.99
Data cleaning and preprocessing,data science,Pandas,53,32.21
Data cleaning and preprocessing,data science,Pandas,278,26.29
Perform statistical analysis,data science,R,161,33.25
Perform statistical analysis,data science,R,121,29.09
Perform statistical analysis,data science,R,104,24.95
Visualize data insights,data science,Tableau,55,12.84
Visualize data insights,data science,Tableau,18,10.5
Data cleaning and preprocessing,data science,Pandas,70,43.41
Perform statistical analysis,data science,R,22,19.8
Data cleaning and preprocessing,data science,Pandas,236,9.29
Visualize data insights,data science,Tableau,129,26.69
Build a recommendation engine,data science,Python,16,19.74
Perform statistical analysis,data science,R,33,18.67
Perform statistical analysis,data science,R,46,27.52
Develop machine learning models,data science,TensorFlow,282,18.47
Data cleaning and preprocessing,data science,Pandas,282,18.47
Develop machine learning models,data science,TensorFlow,7,20.53
Develop machine learning models,data science,TensorFlow,9,17.42
Build a recommendation engine,data science,Python,299,48.24
Build a recommendation engine,data science,Python,164,40.53
Perform statistical analysis,data science,R,22,19.8
Perform statistical analysis,data science,R,92,33.91
Visualize data insights,data science,Tableau,31,53.73
Perform statistical analysis,data science,R,195,37.0
Build a recommendation engine,data science,Python,63,32.31
Build a recommendation engine,data science,Python,287,22.43
Data cleaning and preprocessing,data science,Pandas,222,13.34
Visualize data insights,data science,Tableau,277,23.98
Visualize data insights,data science,Tableau,277,23.98
Visualize data insights,data science,Tableau,266,43.94
Build a recommendation engine,data science,Python,249,21.28
Visualize data insights,data science,Tableau,232,15.41
Develop machine learning models,data science,TensorFlow,35,32.06
Perform statistical analysis,data science,R,265,27.56
Data cleaning and preprocessing,data science,Pandas,297,10.78
Visualize data insights,data science,Tableau,194,39.54
Build a recommendation engine,data science,Python,54,23.04
Visualize data insights,data science,Tableau,227,17.6
Data cleaning and preprocessing,data science,Pandas,86,29.6
Data cleaning and preprocessing,data science,Pandas,288,22.53
Develop machine learning models,data science,TensorFlow,12,14.75
Build a recommendation engine,data science,Python,272,27.11
Visualize data insights,data science,Tableau,250,35.12
Visualize data insights,data science,Tableau,4,35.03
Build a recommendation engine,data science,Python,246,25.73
Build a recommendation engine,data science,Python,211,47.71
Data cleaning and preprocessing,data science,Pandas,198,26.39
Data cleaning and preprocessing,data science,Pandas,190,5.27
Perform statistical analysis,data science,R,227,17.6
Visualize data insights,data science,Tableau,115,34.59
Data cleaning and preprocessing,data science,Pandas,162,48.43
Build a recommendation engine,data science,Python,203,30.99
Visualize data insights,data science,Tableau,184,37.24
Perform statistical analysis,data science,R,117,35.1
Perform statistical analysis,data science,R,170,21.41
Build a recommendation engine,data science,Python,177,35.78
Visualize data insights,data science,Tableau,204,36.95
Develop machine learning models,data science,TensorFlow,16,19.74
Develop machine learning models,data science,TensorFlow,87,34.09
Visualize data insights,data science,Tableau,34,36.89
Build a recommendation engine,data science,Python,54,23.04
Data cleaning and preprocessing,data science,Pandas,71,43.61
Data cleaning and preprocessing,data science,Pandas,108,28.93
Build a recommendation engine,data science,Python,32,35.94
Data cleaning and preprocessing,data science,Pandas,21,43.91
Visualize data insights,data science,Tableau,121,29.09
Develop machine learning models,data science,TensorFlow,116,32.91
Develop machine learning models,data science,TensorFlow,248,21.86
Visualize data insights,data science,Tableau,81,45.49
Perform statistical analysis,data science,R,74,50.76
Perform statistical analysis,data science,R,2,44.9
Develop machine learning models,data science,TensorFlow,191,41.6
Develop machine learning models,data science,TensorFlow,285,25.99
Develop machine learning models,data science,TensorFlow,198,26.39
Visualize data insights,data science,Tableau,240,37.77
Develop machine learning models,data science,TensorFlow,204,36.95
Develop machine learning models,data science,TensorFlow,189,37.18
Visualize data insights,data science,Tableau,241,29.01
Build a recommendation engine,data science,Python,237,25.3
Develop machine learning models,data science,TensorFlow,143,16.9
Visualize data insights,data science,Tableau,5,20.45
Perform statistical analysis,data science,R,243,11.43
Data cleaning and preprocessing,data science,Pandas,246,25.73
Build a recommendation engine,data science,Python,204,36.95
Build a recommendation engine,data science,Python,190,5.27
Perform statistical analysis,data science,R,235,20.82
Data cleaning and preprocessing,data science,Pandas,267,47.25
Visualize data insights,data science,Tableau,218,34.55
Data cleaning and preprocessing,data science,Pandas,25,17.24
Data cleaning and preprocessing,data science,Pandas,2,44.9
Develop machine learning models,data science,TensorFlow,95,26.75
Perform statistical analysis,data science,R,117,35.1
Develop machine learning models,data science,TensorFlow,155,30.3
Develop machine learning models,data science,TensorFlow,76,12.31
Perform statistical analysis,data science,R,82,30.83
Data cleaning and preprocessing,data science,Pandas,166,27.07
Develop machine learning models,data science,TensorFlow,28,14.31
Build a recommendation engine,data science,Python,92,33.91
Build a recommendation engine,data science,Python,188,22.38
Data cleaning and preprocessing,data science,Pandas,42,33.39
Perform statistical analysis,data science,R,152,33.47
Visualize data insights,data science,Tableau,164,40.53
Data cleaning and preprocessing,data science,Pandas,263,24.36
Visualize data insights,data science,Tableau,269,46.51
Build a recommendation engine,data science,Python,200,19.18
Develop machine learning models,data science,TensorFlow,188,22.38
Build a recommendation engine,data science,Python,211,47.71
Data cleaning and preprocessing,data science,Pandas,12,14.75
Perform statistical analysis,data science,R,80,29.38
Build a recommendation engine,data science,Python,59,9.04
Develop machine learning models,data science,TensorFlow,169,29.87
Perform statistical analysis,data science,R,43,11.73
Visualize data insights,data science,Tableau,22,19.8
Visualize data insights,data science,Tableau,156,36.67
Develop machine learning models,data science,TensorFlow,158,34.17
Data cleaning and preprocessing,data science,Pandas,32,35.94
Data cleaning and preprocessing,data science,Pandas,183,27.77
Develop machine learning models,data science,TensorFlow,3,28.08
Perform statistical analysis,data science,R,15,20.69
Visualize data insights,data science,Tableau,217,21.81
Perform statistical analysis,data science,R,216,19.85
Data cleaning and preprocessing,data science,Pandas,190,5.27
Develop machine learning models,data science,TensorFlow,197,41.73
Visualize data insights,data science,Tableau,243,11.43
Data cleaning and preprocessing,data science,Pandas,102,26.1
Visualize data insights,data science,Tableau,6,45.9
Perform statistical analysis,data science,R,48,24.28
Perform statistical analysis,data science,R,194,39.54
Develop machine learning models,data science,TensorFlow,262,38.58
Perform statistical analysis,data science,R,253,24.56
Develop machine learning models,data science,TensorFlow,29,36.42
Perform statistical analysis,data science,R,96,26.71
Visualize data insights,data science,Tableau,3,28.08
Build a recommendation engine,data science,Python,179,24.71
Build a recommendation engine,data science,Python,13,26.23
Visualize data insights,data science,Tableau,91,47.21
Perform statistical analysis,data science,R,246,25.73
Visualize data insights,data science,Tableau,18,10.5
Visualize data insights,data science,Tableau,234,47.13
Develop machine learning models,data science,TensorFlow,246,25.73
Visualize data insights,data science,Tableau,14,23.87
Build a recommendation engine,data science,Python,55,12.84
Build a recommendation engine,data science,Python,176,37.14
Data cleaning and preprocessing,data science,Pandas,127,29.46
Develop machine learning models,data science,TensorFlow,33,18.67
Develop machine learning models,data science,TensorFlow,184,37.24
Develop machine learning models,data science,TensorFlow,135,17.52
Build a recommendation engine,data science,Python,167,17.74
Perform statistical analysis,data science,R,138,18.92
Build a recommendation engine,data science,Python,258,23.76
Visualize data insights,data science,Tableau,14,23.87
Perform statistical analysis,data science,R,241,29.01
Perform statistical analysis,data science,R,99,25.32
Build a recommendation engine,data science,Python,80,29.38
Develop machine learning models,data science,TensorFlow,191,41.6
Perform statistical analysis,data science,R,105,16.77
Visualize data insights,data science,Tableau,46,27.52
Visualize data insights,data science,Tableau,109,36.41
Data cleaning and preprocessing,data science,Pandas,187,36.89
Visualize data insights,data science,Tableau,42,33.39
Data cleaning and preprocessing,data science,Pandas,180,23.32
Perform statistical analysis,data science,R,16,55.86
Perform statistical analysis,data science,R,280,31.63
Data cleaning and preprocessing,data science,Pandas,19,27.94
Build a recommendation engine,data science,Python,154,21.41
Perform statistical analysis,data science,R,48,24.28
