ID,Experiencia (años),Rendimiento personal,Soft skills,Carga de trabajo,Habilidades técnicas
98,6,2.34,9.26,2.16,"{'Kubernetes': 0.73, 'server configuration': 3.69, 'Cleverhans': 6.0, 'elasticsearch': 9.47, 'Facebook Prophet': 5.87, 'TensorFlow-GAN': 0.88, 'UI': 6.27, 'load balancing': 7.04, 'FaceNet': 5.93, 'ARIMA': 7.66}"
99,17,6.11,2.91,8.83,"{'Apache Spark': 9.35, 'ADTK': 9.31, 'SpaCy': 0.02, 'OWASP': 8.21, 'IsolationForest': 9.96, 'ruby': 2.13, 'Augmentor': 2.41, 'MobileNet': 9.17, 'selenium': 5.87, 'MS Project': 9.94}"
100,15,1.96,5.27,5.97,"{'javascript': 3.3, 'jest': 9.6, 'materialize': 8.32, 'spring boot': 1.7, 'java': 0.22, 'trello': 4.57, 'jenkins': 8.64, 'jira': 2.24, 'server configuration': 3.04, 'asp.net': 4.51}"
101,2,9.45,1.42,0.88,"{'ARIMA': 2.15, 'XGBoost': 6.3, 'typescript': 9.27, 'RiskMatrix': 3.61, 'firebase': 6.16, 'DALL-E': 6.47, 'user-friendly': 3.93, 'UserTesting': 5.88, 'DeOldify': 7.43, 'laravel': 7.14}"
102,10,6.17,2.01,6.43,"{'sql': 4.14, 'SORT': 6.17, 'Trello': 5.98, 'Selenium': 8.59, 'Zero-shot BERT': 0.11, 'FeatureTools': 0.2, 'Facebook Prophet': 0.17, 'MS Project': 2.68, 'Wave-U-Net': 3.32, 'git': 0.25}"
103,13,2.31,1.81,1.78,"{'Python': 4.31, 'confluence': 4.99, 'monitoring': 2.01, 'Docker': 3.04, 'CNN': 6.37, 'postgresql': 3.28, 'GPT-3': 4.67, 'TensorFlow': 4.79, 'markdown': 5.7, 'SORT': 3.17}"
104,5,5.58,1.44,4.67,"{'NeuralStyle': 9.89, 'puppet': 4.72, 'GPT-2 Fine-Tuning': 0.29, 'Trello': 3.46, 'JIRA': 8.6, 'pytorch': 8.32, 'WCAG': 1.04, 'git': 0.15, 'Kubernetes': 8.17, 'heroku': 8.64}"
105,19,2.11,4.23,8.02,"{'database': 5.14, 'DeOldify': 1.95, 'CNN': 5.33, 'JUnit': 3.37, 'Librosa': 4.2, 'jest': 2.9, 'AWS': 4.35, 'ansible': 5.37, 'Ansible': 6.94, 'Rasa': 0.08}"
106,10,5.83,2.82,0.1,"{'Labelbox': 0.74, 'Keras': 2.02, 'Rasa': 2.4, 'Selenium': 8.4, 'Isolation Forest': 8.3, 'SQL': 3.11, 'docker': 5.7, 'BioBERT': 9.9, 'storage': 6.54, 'java': 9.54}"
107,14,2.3,7.77,0.52,"{'Stable Baselines': 0.1, 'typescript': 7.73, 'node.js': 3.02, 'C++': 6.05, 'api documentation': 7.63, 'spring boot': 1.82, 'Optuna': 4.21, 'MLflow': 8.66, 'MobileNet': 6.18, 'SpaCy': 2.06}"
108,7,6.15,2.37,4.26,"{'apache spark': 8.31, 'asciidoc': 2.57, 'jquery': 3.09, 'VADER': 2.74, 'UserTesting': 9.7, 'sqlite': 4.68, 'GPT-3': 0.56, 'Doc2Vec': 2.09, 'mongodb': 9.89, 'Supervisely': 8.47}"
109,13,8.45,4.92,8.78,"{'SQL': 2.37, 'ansible': 8.54, 'BioBERT': 2.78, 'Docker': 0.75, 'bash': 8.77, 'RAKE': 5.98, 'MobileNet': 4.54, 'Alibi Detect': 6.24, 'nltk': 8.73, 'trello': 7.94}"
110,16,6.21,9.94,0.25,"{'spring boot': 5.22, 'materialize': 5.81, 'continuous deployment': 4.91, 'YOLOv4': 4.23, 'Prophet': 4.5, 'OpenKE': 7.61, 'sqlite': 1.75, 'Logistic Regression': 2.18, 'Tableau': 4.14, 'NeuralStyle': 7.44}"
111,6,9.59,2.39,5.97,"{'Hugging Face': 4.58, 'server configuration': 5.21, 'Dlib': 8.96, 'UI': 0.46, 'XGBoost': 8.45, 'mongoDB': 0.62, 'Jenkins': 1.66, 'TensorFlow Lite': 0.9, 'bash': 5.59, 'sass': 8.71}"
112,4,1.78,3.83,8.13,"{'load balancing': 8.56, 'MLflow': 6.24, 'react': 3.31, 'RiskMatrix': 2.81, 'tensorflow': 6.12, 'Selenium': 3.6, 'TensorFlow-GAN': 0.86, 'Linear Regression': 3.06, 'PostgreSQL': 2.54, 'ESRGAN': 7.26}"
113,10,6.83,3.66,1.37,"{'YOLO': 9.42, 'AWS': 6.4, 'U-Net': 7.6, 'Isolation Forest': 4.85, 'Proximal Policy Optimization': 6.77, 'confluence': 2.3, 'GPT-2 Fine-Tuning': 9.06, 'sqlite': 7.86, 'aws': 9.74, 'ALS': 2.06}"
114,5,2.56,9.24,9.77,"{'ansible': 2.28, 'css': 0.65, 'SQL': 3.21, 'FER (Facial Expression Recognition)': 0.63, 'react': 8.4, 'WCAG': 3.18, 'TensorFlow': 3.36, 'Stable Baselines': 3.52, 'mocha': 7.14, 'YOLOv5': 1.38}"
115,7,7.94,2.25,3.73,"{'Tableau': 5.21, 'DenseNet': 1.21, 'NLTK': 2.04, 'postgresql': 5.87, 'Polyglot': 3.46, 'GPT-2 Fine-Tuning': 2.0, 'DeOldify': 6.62, 'K-Means': 9.85, 'MS Project': 6.48, 'JIRA': 5.13}"
116,7,5.84,5.99,6.59,"{'Xception': 9.22, 'Wave-U-Net': 1.22, 'jest': 9.04, 'Cleverhans': 7.92, 'api documentation': 4.4, 'Python': 6.33, 'microsoft project': 1.99, 'TensorFlow': 9.59, 'MobileNet': 1.03, 'FastText': 3.4}"
117,3,8.24,3.87,7.36,"{'ansible': 0.43, 'apache spark': 0.58, 'python': 8.35, 'FastText': 4.45, 'redux': 5.23, 'LightGBM': 8.6, 'YOLOv4': 6.41, 'DQN': 4.51, 'php': 6.81, 'chai': 0.15}"
118,20,9.97,3.97,2.02,"{'Python': 5.53, 'Pandas': 8.29, 'cypress': 9.34, 'Isolation Forest': 2.62, 'Sketch': 1.87, 'Collaborative Filtering': 0.27, 'flask': 3.59, 'data': 5.23, 'testing library': 4.64, 'WCAG': 3.78}"
119,10,1.29,4.14,0.38,"{'testing library': 4.76, 'Ansible': 6.84, 'cypress': 5.25, 'Cleverhans': 9.58, 'ALS': 7.57, 'GPT-2': 9.94, 'FeatureTools': 5.5, 'PCA': 9.04, 'OpenCV': 0.23, 'IsolationForest': 0.59}"
120,1,6.65,8.44,7.31,"{'WCAG': 7.25, 'Rasa': 6.41, 'PyTorch': 8.79, 'redis': 9.75, 'javascript': 6.38, 'SORT': 2.58, 'Tesseract': 3.39, 'trello': 6.79, 'YOLOv4': 8.43, 'ESRGAN': 3.56}"
121,12,5.6,1.98,1.67,"{'Adobe XD': 4.89, 'Prometheus': 7.57, 'ansible': 2.03, 'html': 1.01, 'WCAG': 2.27, 'heroku': 2.61, 'Cleverhans': 8.59, 'Kubeflow': 1.1, 'scala': 1.86, 'PCA': 7.34}"
122,16,5.4,8.05,4.13,"{'Cleverhans': 2.21, 'Prometheus': 8.25, 'CRNN': 1.73, 'ADTK': 5.16, 'Linear Regression': 9.1, 'readthedocs': 6.14, 'H2O.ai': 2.23, 'Slack': 0.78, 'RiskMatrix': 0.13, 'react': 4.07}"
123,19,6.73,6.63,9.15,"{'Labelbox': 9.49, 'asciidoc': 0.67, 'UI': 3.84, 'html': 0.27, 'JMeter': 4.64, 'Elasticsearch': 7.13, 'GitLab': 3.42, 'Recurrent Neural Networks (RNN)': 1.37, 'kanban': 9.76, 'nltk': 5.23}"
124,1,3.53,8.71,0.88,"{'postgresql': 6.74, 'apache spark': 2.72, 'collaboration tools': 1.45, 'Kubernetes': 2.72, 'SpaCy': 1.68, 'markdown': 9.58, 'TensorFlow-GAN': 5.88, 'Docker': 2.67, 'SV2TTS': 3.57, 'pytorch': 3.57}"
125,0,0.79,6.33,8.5,"{'cypress': 9.41, 'jest': 9.69, 'MobileNet': 3.98, 'azure': 2.62, 'readthedocs': 4.99, 'RiskMatrix': 4.29, 'monitoring': 0.51, 'asp.net': 9.83, 'ansible': 0.94, 'sass': 8.38}"
126,8,4.42,9.16,8.87,"{'Sketch': 7.02, 'firebase': 2.94, 'readthedocs': 5.7, 'JWT': 3.63, 'asciidoc': 6.03, 'bootstrap': 3.8, 'WCAG': 9.71, 'Transformer': 9.58, 'confluence': 3.34, 'LSTM': 7.14}"
127,14,1.88,9.69,5.56,"{'storage': 2.72, 'docker': 8.24, 'mongoDB': 2.37, 'scrum': 7.12, 'ci/cd': 6.19, 'react': 7.27, 'RAKE': 8.71, 'sql': 5.04, 'bootstrap': 2.16, 'webpack': 5.22}"
128,19,7.43,3.44,7.19,"{'Doc2Vec': 5.8, 'continuous integration': 3.84, 'database': 4.22, 'typescript': 0.04, 'ALS': 5.78, 'nltk': 6.54, 'scala': 9.31, 'kanban': 1.03, 'CNN': 4.57, 'Hugging Face': 6.46}"
129,16,2.12,6.04,1.75,"{'Ansible': 0.28, 'K-Means': 6.67, 'OpenPose': 9.63, 'RandomForest': 8.23, 'terraform': 0.95, 'Show and Tell': 9.35, 'FER (Facial Expression Recognition)': 5.06, 'VADER': 4.81, 'spring boot': 5.03, 'Dialogflow': 2.06}"
130,2,7.64,8.29,1.81,"{'monitoring': 4.01, 'Apache Spark': 1.95, 'StyleGAN': 4.83, 'kubernetes': 9.75, 'Keras': 7.78, 'technical writing': 8.06, 'Figma': 1.5, 'ADTK': 3.02, 'gsap': 3.55, 'DenseNet': 7.39}"
131,7,8.0,2.37,2.17,"{'Elasticsearch': 5.9, 'ALS': 4.31, 'SORT': 3.64, 'R': 3.57, 'DenseNet': 9.66, 'vue': 1.79, 'elasticsearch': 4.0, 'JWT': 7.73, 'version control': 9.89, 'Prophet': 4.0}"
132,1,6.56,3.58,3.21,"{'YOLOv4': 2.88, 'ADTK': 2.68, 'MobileNet': 7.83, 'css': 4.3, 'sphinx': 6.44, 'c': 6.06, 'SORT': 5.83, 'RiskMatrix': 7.38, 'user manuals': 5.92, 'Ansible': 4.15}"
133,18,6.01,5.28,3.12,"{'BorutaPy': 5.21, 'continuous deployment': 8.98, 'XGBoost': 4.82, 'Stable Baselines': 9.96, 'RAKE': 6.61, 'asciidoc': 7.54, 'Sketch': 0.92, 'confluence': 8.49, 'MLflow': 9.51, 'materialize': 0.77}"
134,2,6.08,4.08,1.35,"{'prometheus': 2.89, 'server configuration': 8.41, 'javascript': 8.07, 'chai': 9.6, 'jenkins': 9.74, 'Supervisely': 4.39, 'vue': 8.97, 'puppet': 6.59, 'RAKE': 8.84, 'scala': 9.38}"
135,13,1.75,4.16,6.05,"{'Apache Spark': 8.77, 'html': 6.91, 'ESRGAN': 9.62, 'XGBoost': 2.29, 'Rasa': 8.24, 'GPT-3': 4.65, 'Cleverhans': 4.46, 'continuous integration': 7.52, 'Proximal Policy Optimization': 2.07, 'microsoft project': 5.36}"
136,4,7.27,1.15,3.3,"{'Sketch': 7.93, 'NLTK': 3.82, 'docker': 5.19, 'tensorflow': 3.67, 'EfficientNet': 8.24, 'pytorch': 6.06, 'TextBlob': 9.88, 'database': 5.17, 'cypress': 1.53, 'nltk': 0.7}"
137,3,6.84,2.67,6.44,"{'ADTK': 2.3, 'SV2TTS': 2.71, 'chai': 2.95, 'TensorFlow': 0.86, 'tensorflow': 1.09, 'MLflow': 0.76, 'react': 2.67, 'jira': 2.64, 'OpenCV': 0.71, 'agile': 7.06}"
138,12,3.78,1.57,5.56,"{'trello': 9.86, 'BioBERT': 5.26, 'elasticsearch': 1.33, 'technical writing': 7.55, 'Recurrent Neural Networks (RNN)': 5.97, 'BM25': 6.66, 'pytorch': 9.35, 'monitoring': 6.09, 'NeuralStyle': 5.93, 'YOLO': 3.72}"
139,19,9.9,2.32,6.74,"{'SpaCy': 6.18, 'Prometheus': 8.16, 'YOLOv4': 3.68, 'JWT': 8.62, 'MS Project': 5.18, 'VADER': 0.01, 'Keras': 7.34, 'Tesseract': 9.6, 'webpack': 0.61, 'nltk': 6.98}"
140,6,1.9,0.39,0.42,"{'ci/cd': 4.51, 'RiskMatrix': 2.94, 'docker': 8.72, 'testing library': 1.1, 'selenium': 3.25, 'version control': 4.41, 'Slack': 1.32, 'Apache Spark': 5.69, 'pytorch': 0.28, 'OpenCV': 8.02}"
141,1,4.41,0.92,8.73,"{'TensorFlow Lite': 8.34, 'oracle': 4.99, 'RiskMatrix': 6.33, 'jquery': 1.34, 'IsolationForest': 8.98, 'BERT': 1.45, 'OWASP': 7.83, 'Dlib': 5.45, 'EfficientNet': 9.56, 'YOLOv4': 3.19}"
142,15,0.61,6.25,7.33,"{'css': 7.6, 'JUnit': 1.09, 'go': 4.69, 'OpenCV': 3.73, 'Doc2Vec': 4.8, 'UI': 0.12, 'Alibi Detect': 5.91, 'GPT-2 Fine-Tuning': 7.31, 'flask': 1.4, 'LDA': 8.97}"
143,17,4.29,1.73,9.43,"{'LSTM': 4.34, 'Dialogflow': 5.37, 'Jenkins': 7.4, 'sqlite': 1.87, 'ruby': 1.12, 'TensorFlow Lite': 6.45, 'Supervisely': 1.31, 'StyleGAN': 4.37, 'DeOldify': 8.18, 'materialize': 9.53}"
144,6,8.6,8.64,7.72,"{'Slack': 5.16, 'Jenkins': 2.91, 'FeatureTools': 2.31, 'Ansible': 4.83, 'ADTK': 5.32, 'Hugging Face': 7.86, 'php': 5.67, 'flask': 2.42, 'scrum': 0.99, 'Tacotron': 3.68}"
145,1,1.03,7.65,9.73,"{'sqlite': 2.43, 'DeOldify': 3.47, 'kubernetes': 3.2, 'jira': 9.34, 'css': 0.87, 'Kubernetes': 7.83, 'readthedocs': 4.64, 'H2O.ai': 6.38, 'continuous integration': 4.53, 'Wave-U-Net': 0.65}"
146,8,3.44,7.81,3.96,"{'firebase': 6.34, 'flask': 0.84, 'UI': 3.36, 'MediaPipe': 5.74, 'Logistic Regression': 6.68, 'Slack': 3.26, 'jwt': 2.05, 'data': 0.33, 'Apache Flink': 9.5, 'Augmentor': 4.79}"
147,20,4.74,6.74,0.5,"{'javascript': 9.55, 'DeOldify': 7.04, 'foundation': 8.24, 'Zero-shot BERT': 5.04, 'Prometheus': 1.62, 'kanban': 7.29, 'Sketch': 6.15, 'Prophet': 8.38, 'webpack': 7.35, 'Supervisely': 3.19}"
148,1,4.35,2.38,2.27,"{'RAKE': 7.08, 'JWT': 5.8, 'ARIMA': 8.88, 'CatBoost': 2.33, 'docker': 1.02, 'YOLOv4': 7.91, 'javascript': 7.49, 'Apache Spark': 5.88, 'MarianMT': 3.66, 'Kubernetes': 2.71}"
149,11,2.49,9.47,3.88,"{'Slack': 2.94, 'git': 8.03, 'CatBoost': 3.4, 'LightGBM': 6.71, 'YOLO': 2.55, 'U-Net': 9.29, 'Linear Regression': 1.6, 'DQN': 9.59, 'php': 3.37, 'JIRA': 2.14}"
150,5,0.64,3.48,5.77,"{'continuous deployment': 1.62, 'microsoft project': 2.04, 'EfficientNet': 8.4, 'LSTM': 2.18, 'vue': 8.3, 'foundation': 7.15, 'Wave-U-Net': 7.36, 'flask': 7.85, 'spaCy': 0.91, 'trello': 8.0}"
151,17,6.85,2.06,1.51,"{'javascript': 7.49, 'chai': 4.56, 'EfficientNet': 4.48, 'DeepRecSys': 1.71, 'OpenKE': 7.82, 'terraform': 5.59, 'Sentence-BERT': 9.01, 'user-friendly': 9.62, 'Rasa': 8.86, 'markdown': 6.66}"
152,2,7.55,3.26,5.7,"{'Dlib': 0.94, 'GPT-2': 8.57, 'TensorFlow-GAN': 1.27, 'Prophet': 3.41, 'tensorflow': 0.23, 'nltk': 4.14, 'jwt': 6.06, 'UserTesting': 4.35, 'FaceNet': 7.5, 'C++': 9.67}"
153,10,7.68,9.17,4.22,"{'FER (Facial Expression Recognition)': 4.63, 'SV2TTS': 9.51, 'mongodb': 2.29, 'apache spark': 4.64, 'elasticsearch': 2.12, 'PCA': 8.11, 'bootstrap': 6.46, 'U-Net': 4.26, 'RiskMatrix': 1.07, 'css': 2.8}"
154,15,4.01,4.43,9.48,"{'Stable Baselines': 7.23, 'Tesseract': 9.86, 'docker': 7.44, 'Transformer': 5.99, 'Apache Flink': 4.96, 'FaceNet': 8.98, 'RiskMatrix': 4.12, 'Wave-U-Net': 7.72, 'monitoring': 9.91, 'markdown': 1.7}"
155,11,5.3,5.02,5.64,"{'Prometheus': 1.33, 'JMeter': 0.29, 'heroku': 6.97, 'Pandas': 9.46, 'trello': 1.78, 'JIRA': 1.87, 'BioBERT': 0.05, 'Doc2Vec': 6.8, 'scikit-multilearn': 5.28, 'testing library': 2.32}"
156,18,8.68,3.8,6.97,"{'mysql': 4.96, 'JWT': 3.39, 'Dlib': 8.56, 'user-friendly': 7.03, 'confluence': 0.5, 'scrum': 7.06, 'css': 9.8, 'Slack': 8.82, 'Linear Regression': 8.09, 'GitLab': 8.14}"
157,19,4.37,6.88,8.34,"{'Stable Baselines': 7.07, 'python': 7.91, 'Collaborative Filtering': 9.53, 'UI': 2.72, 'confluence': 5.66, 'WCAG': 9.56, 'go': 4.35, 'CatBoost': 9.77, 'OpenPose': 2.93, 'DenseNet': 4.22}"
158,20,3.96,8.43,4.57,"{'vue': 9.84, 'server configuration': 2.33, 'Dlib': 5.47, 'EfficientNet': 8.49, 'Recurrent Neural Networks (RNN)': 9.69, 'ADTK': 5.55, 'sqlite': 9.17, 'Prophet': 7.37, 'kanban': 4.35, 'git': 7.17}"
159,19,0.53,6.93,9.91,"{'Tacotron': 7.87, 'PyTorch': 9.37, 'collaboration tools': 8.52, 'RiskMatrix': 5.28, 'scikit-multilearn': 9.89, 'server configuration': 1.76, 'PCA': 4.44, 'selenium': 4.62, 'SpaCy': 3.05, 'heroku': 6.04}"
160,1,0.26,0.51,2.61,"{'git': 1.85, 'elasticsearch': 1.62, 'Kubernetes': 4.17, 'aws': 5.95, 'GitLab': 9.52, 'DALL-E': 4.72, 'user-friendly': 2.06, 'redis': 1.82, 'apache spark': 9.97, 'puppet': 4.91}"
161,5,3.92,6.92,2.35,"{'heroku': 4.36, 'PyCaret': 5.23, 'Sketch': 3.61, 'MLflow': 8.17, 'jest': 9.36, 'user manuals': 8.48, 'CNN': 8.59, 'Zero-shot BERT': 8.4, 'kotlin': 5.05, 'testing library': 8.42}"
162,3,7.93,8.42,2.2,"{'JMeter': 1.98, 'selenium': 9.71, 'JUnit': 1.08, 'Tableau': 2.09, 'scrum': 4.52, 'jwt': 3.38, 'LightGBM': 3.82, 'C++': 8.35, 'Recurrent Neural Networks (RNN)': 0.87, 'FastText': 7.41}"
163,2,7.31,8.4,5.62,"{'SORT': 8.8, 'angular': 1.0, 'Trello': 8.69, 'Doc2Vec': 8.23, 'webpack': 7.23, 'Linear Regression': 2.32, 'bash': 7.57, 'Figma': 1.0, 'TextBlob': 0.17, 'FaceNet': 2.38}"
164,20,4.38,9.91,2.43,"{'go': 3.1, 'EfficientNet': 2.71, 'Show and Tell': 1.83, 'PyTorch': 0.21, 'Trello': 3.21, 'Wave-U-Net': 6.67, 'mongoDB': 3.93, 'Recurrent Neural Networks (RNN)': 7.84, 'ruby': 0.18, 'django': 4.84}"
165,17,2.68,2.93,9.07,"{'user-friendly': 5.15, 'MySQL': 7.91, 'Xception': 5.52, 'aria': 9.95, 'junit': 1.9, 'OpenCV': 7.91, 'Hugging Face': 4.26, 'TextBlob': 5.86, 'redis': 8.74, 'git': 4.62}"
166,18,5.06,2.1,2.31,"{'Show and Tell': 2.67, 'RNN': 5.94, 'storage': 3.15, 'node.js': 7.75, 'SORT': 3.65, 'AWS': 8.73, 'Matrix Factorization': 6.48, 'jenkins': 0.94, 'Carla': 2.99, 'Docker': 3.63}"
167,16,2.22,3.3,5.52,"{'scrum': 9.6, 'scala': 4.13, 'JIRA': 2.54, 'TextBlob': 5.95, 'jest': 0.75, 'Stable Baselines': 6.31, 'aws': 7.42, 'BERT': 7.88, 'kubernetes': 3.89, 'vue': 4.02}"
168,16,0.96,6.66,6.2,"{'azure': 6.51, 'DeepSpeech': 6.17, 'Jenkins': 5.73, 'NLTK': 0.73, 'TensorFlow': 4.37, 'NeuralStyle': 4.38, 'Matrix Factorization': 9.2, 'BioBERT': 5.33, 'Cleverhans': 4.68, 'Ansible': 1.76}"
169,7,6.61,1.46,2.88,"{'Apache Spark': 7.25, 'c': 7.1, 'NeuralStyle': 2.08, 'WCAG': 8.03, 'api documentation': 9.35, 'Zero-shot BERT': 1.51, 'ALS': 4.8, 'Librosa': 9.71, 'kotlin': 4.01, 'pytorch': 5.52}"
170,0,1.86,4.67,3.51,"{'EfficientNet': 3.52, 'BERT': 2.48, 'jenkins': 0.49, 'materialize': 3.88, 'bootstrap': 3.94, 'DeOldify': 5.03, 'sql': 5.69, 'jira': 8.85, 'RiskMatrix': 3.85, 'NetworkX': 6.18}"
171,18,8.36,9.27,3.07,"{'MediaPipe': 9.16, 'kubernetes': 4.91, 'StyleGAN': 5.13, 'NLTK': 6.37, 'Show and Tell': 4.49, 'technical writing': 4.13, 'U-Net': 9.28, 'R': 2.32, 'LSTM': 8.72, 'PCA': 2.35}"
172,17,1.54,8.24,7.43,"{'Tesseract': 9.07, 'Elasticsearch': 1.75, 'microsoft project': 9.29, 'typescript': 0.18, 'PostgreSQL': 1.39, 'RandomForest': 3.85, 'RAKE': 6.17, 'spring boot': 4.2, 'U-Net': 8.82, 'TensorFlow-GAN': 2.63}"
173,14,1.63,2.5,2.62,"{'testing library': 1.73, 'bash': 5.53, 'data': 8.16, 'IsolationForest': 0.79, 'Librosa': 4.35, 'Dlib': 6.85, 'Optuna': 6.19, 'mongodb': 5.78, 'aws': 5.95, 'OWASP': 1.87}"
174,16,7.28,1.26,2.2,"{'Librosa': 6.8, 'bootstrap': 4.96, 'K-Means': 8.08, 'Carla': 4.14, 'UserTesting': 9.48, 'go': 5.59, 'Adobe XD': 2.25, 'Optuna': 9.05, 'java': 0.48, 'JWT': 7.07}"
175,3,9.12,1.74,3.4,"{'MobileNet': 8.76, 'CRNN': 2.85, 'Facebook Prophet': 3.86, 'user manuals': 5.86, 'ALS': 7.61, 'Prometheus': 0.92, 'monitoring': 9.48, 'ruby': 5.2, 'pytorch': 2.55, 'jwt': 1.62}"
176,8,6.51,8.62,9.63,"{'oracle': 0.28, 'readthedocs': 8.03, 'node.js': 9.89, 'bootstrap': 1.4, 'agile': 4.11, 'GitLab': 4.4, 'UI': 7.0, 'Rasa': 3.39, 'kanban': 0.91, 'GPT-2 Fine-Tuning': 3.64}"
177,3,8.19,2.84,4.47,"{'RiskMatrix': 3.88, 'BioBERT': 7.4, 'selenium': 6.9, 'JWT': 3.39, 'asciidoc': 4.16, 'Xception': 7.84, 'FER (Facial Expression Recognition)': 8.77, 'LightGBM': 3.46, 'apache spark': 3.7, 'readthedocs': 2.27}"
178,2,9.81,2.11,5.11,"{'Augmentor': 4.92, 'R': 2.24, 'SpaCy': 1.56, 'GPT-2 Fine-Tuning': 7.48, 'TextBlob': 4.07, 'YOLOv5': 0.41, 'scikit-multilearn': 8.99, 'PyTorch': 0.98, 'Recurrent Neural Networks (RNN)': 2.69, 'terraform': 5.86}"
179,8,6.26,0.6,5.27,"{'Dlib': 5.42, 'prometheus': 8.45, 'DeepSpeech': 5.56, 'materialize': 6.54, 'node.js': 4.6, 'SV2TTS': 7.4, 'YOLOv4': 7.18, 'Prophet': 0.64, 'confluence': 2.32, 'SQL': 6.71}"
180,3,3.97,3.76,6.11,"{'LDA': 9.31, 'ci/cd': 9.83, 'Slack': 2.69, 'Trello': 9.19, 'BioBERT': 0.84, 'WCAG': 0.26, 'NetworkX': 7.18, 'user-friendly': 1.03, 'Hugging Face': 1.97, 'Wave-U-Net': 8.52}"
181,11,9.71,4.66,6.31,"{'trello': 1.47, 'StyleGAN': 4.42, 'IsolationForest': 8.15, 'MySQL': 0.71, 'VADER': 4.44, 'go': 9.33, 'UI': 6.92, 'CRNN': 2.72, 'Praat': 1.57, 'selenium': 9.89}"
182,4,7.46,7.62,4.8,"{'JMeter': 9.76, 'FaceNet': 3.94, 'user-friendly': 8.99, 'WCAG': 3.72, 'NeuralStyle': 8.44, 'Carla': 1.95, 'api': 6.7, 'MySQL': 1.77, 'Apache Spark': 9.46, 'Rasa': 6.46}"
183,5,2.34,5.39,0.03,"{'Tableau': 3.98, 'sass': 7.66, 'jwt': 7.28, 'prometheus': 3.06, 'Transformer': 2.52, 'H2O.ai': 9.07, 'MLflow': 6.5, 'webpack': 2.77, 'Sentence-BERT': 5.38, 'scala': 0.42}"
184,18,6.95,6.58,6.77,"{'Apache Flink': 4.34, 'junit': 9.09, 'Librosa': 4.58, 'PyTorch': 2.31, 'heroku': 6.86, 'LSTM': 0.52, 'sqlite': 1.35, 'Adobe XD': 1.21, 'gsap': 9.59, 'WCAG': 7.88}"
185,3,8.23,5.04,9.79,"{'redis': 0.66, 'Adobe XD': 6.89, 'c': 1.66, 'Stable Baselines': 7.45, 'Tesseract': 8.07, 'Trello': 5.55, 'Recurrent Neural Networks (RNN)': 0.84, 'scikit-multilearn': 7.89, 'CNN': 3.89, 'sass': 0.52}"
186,20,8.01,3.16,6.89,"{'css': 6.21, 'ARIMA': 9.07, 'K-Means': 0.79, 'BM25': 9.11, 'sass': 4.01, 'scikit-learn': 9.57, 'PostgreSQL': 8.97, 'Carla': 8.24, 'Selenium': 2.52, 'prometheus': 0.87}"
187,13,5.19,7.58,3.84,"{'SV2TTS': 3.9, 'python': 2.13, 'PyTorch': 7.58, 'Sentence-BERT': 1.85, 'jenkins': 1.84, 'Prometheus': 4.15, 'spring boot': 6.01, 'OpenKE': 5.31, 'kanban': 7.16, 'gsap': 4.15}"
188,6,3.27,3.78,4.99,"{'DeOldify': 8.33, 'mongodb': 1.35, 'api documentation': 7.19, 'junit': 7.53, 'ALS': 1.76, 'ADTK': 1.41, 'Apache Flink': 2.26, 'Transformer': 3.01, 'Ansible': 2.54, 'Kubernetes': 5.41}"
189,19,7.03,3.64,1.19,"{'JWT': 7.34, 'JUnit': 4.62, 'H2O.ai': 2.13, 'UI': 2.82, 'redis': 5.68, 'Carla': 6.16, 'LDA': 1.28, 'OpenPose': 2.43, 'jquery': 8.26, 'sqlite': 8.74}"
190,2,0.65,1.63,9.94,"{'ci/cd': 1.98, 'aria': 2.19, 'cassandra': 1.26, 'vue': 6.7, 'OWASP': 1.91, 'nltk': 0.75, 'gsap': 6.96, 'sql': 7.13, 'selenium': 5.61, 'Sentence-BERT': 3.11}"
191,3,6.03,9.55,5.59,"{'Keras': 1.74, 'MLflow': 7.07, 'asp.net': 5.25, 'Zero-shot BERT': 9.45, 'OpenPose': 2.81, 'Transformer': 9.31, 'Adobe XD': 5.42, 'user-friendly': 4.02, 'U-Net': 7.27, 'node.js': 6.61}"
192,3,8.48,1.13,0.22,"{'PyCaret': 7.75, 'monitoring': 3.11, 'TensorFlow': 6.67, 'GPT-3': 6.79, 'Faster R-CNN': 4.05, 'ansible': 6.69, 'RandomForest': 3.33, 'agile': 8.26, 'mongoDB': 2.29, 'Isolation Forest': 9.22}"
193,17,4.65,4.34,3.54,"{'angular': 4.84, 'sql': 3.92, 'Keras': 6.9, 'PostgreSQL': 3.25, 'mysql': 6.05, 'oracle': 9.24, 'EfficientNet': 1.82, 'YOLOv5': 8.47, 'Librosa': 0.59, 'FastText': 7.77}"
194,18,8.71,2.44,1.47,"{'MLflow': 5.83, 'junit': 8.38, 'ALS': 5.96, 'typescript': 0.77, 'XGBoost': 6.73, 'OpenKE': 2.02, 'git': 4.69, 'elasticsearch': 2.71, 'confluence': 4.52, 'selenium': 6.3}"
